R,Fundamentalists,Trend followers,Adapters,Learners,Optimists,Pessimists,std_x
1.01,0.69856,0.4725,-0.4368,0.01206,0.74856,0.74857,1.18839
1.02112,0.70328,0.47985,-0.41641,0.0052,0.75276,0.7538,1.17587
1.03225,0.70747,0.48711,-0.39502,0.00097,0.75646,0.75849,1.16296
1.04337,0.71108,0.49481,-0.37252,-0.0015,0.76068,0.76149,1.14991
1.05449,0.71483,0.50204,-0.35044,-0.00205,0.76401,0.76565,1.13689
1.06562,0.71846,0.5093,-0.32825,-0.00109,0.76732,0.7696,1.12396
1.07674,0.72204,0.51664,-0.30597,0.00133,0.77068,0.77339,1.11115
1.08787,0.7256,0.52411,-0.2836,0.00518,0.77415,0.77705,1.09849
1.09899,0.72919,0.53173,-0.26107,0.0105,0.77776,0.78061,1.08598
1.11011,0.7328,0.53955,-0.23831,0.01735,0.78155,0.78406,1.07359
1.12124,0.73643,0.54759,-0.21517,0.0259,0.78549,0.78737,1.06127
1.13236,0.74067,0.55589,-0.19128,0.03657,0.78925,0.7921,1.04858
1.14348,0.74392,0.56435,-0.16631,0.04998,0.79312,0.79473,1.03588
1.15461,0.74577,0.57286,-0.13776,0.06968,0.79586,0.79568,1.0216
1.16573,0.77033,0.60126,-0.08504,0.06569,0.8191,0.82155,1.0084
1.17685,0.78877,0.6223,-0.05294,0.05847,0.83904,0.8385,0.99933
1.18798,0.80295,0.63854,-0.02467,0.05499,0.85292,0.85297,0.99043
1.1991,0.81608,0.65194,0.00162,0.05242,0.86257,0.86959,0.98144
1.21022,0.82796,0.66676,0.02703,0.05088,0.87566,0.88026,0.97262
1.22135,0.83881,0.67991,0.05192,0.05044,0.88616,0.89146,0.96402
1.23247,0.84828,0.69092,0.07367,0.05035,0.89441,0.90215,0.9553
1.2436,0.85925,0.70583,0.09809,0.05083,0.90826,0.91024,0.94701
1.25472,0.86827,0.71655,0.12018,0.05191,0.91591,0.92063,0.93885
1.26584,0.87811,0.7279,0.14273,0.05334,0.92419,0.93203,0.9305
1.27697,0.88715,0.73922,0.16408,0.05502,0.93319,0.94112,0.92238
1.28809,0.89547,0.75024,0.18461,0.05719,0.94221,0.94873,0.91457
1.29921,0.90391,0.76133,0.20518,0.05931,0.9513,0.95653,0.9071
1.31034,0.90933,0.76894,0.22066,0.0579,0.95735,0.96131,0.89883
1.32146,0.91726,0.77873,0.24167,0.06477,0.96369,0.97082,0.89121
1.33258,0.92497,0.78807,0.26112,0.06754,0.97016,0.97978,0.88395
1.34371,0.93282,0.79835,0.28029,0.07099,0.97843,0.98722,0.87653
1.35483,0.93997,0.80774,0.2985,0.07457,0.98566,0.99428,0.86937
1.36596,0.94618,0.81627,0.3158,0.07796,0.99204,1.00031,0.86242
1.37708,0.95245,0.82429,0.33259,0.08192,0.99759,1.00731,0.85558
1.3882,0.95969,0.83474,0.34983,0.08578,1.00712,1.01225,0.8485
1.39933,0.9659,0.84288,0.36682,0.08981,1.01284,1.01896,0.84164
1.41045,0.97149,0.85,0.3826,0.09383,1.01737,1.02562,0.83517
1.42157,0.97747,0.85751,0.39834,0.09844,1.02245,1.0325,0.8286
1.4327,0.98395,0.8663,0.41444,0.10303,1.02957,1.03834,0.82199
1.44382,0.98865,0.87324,0.42891,0.10722,1.03464,1.04267,0.8158
1.45494,0.99463,0.8816,0.4443,0.11192,1.04143,1.04783,0.8094
1.46607,0.99966,0.88857,0.45892,0.11658,1.04632,1.05301,0.8033
1.47719,1.00543,0.89533,0.47338,0.12165,1.05052,1.06035,0.79708
