beta,lyapunov
0.0,-0.00055
0.33613,-0.00055
0.67227,-0.00055
1.0084,-0.00085
1.34454,-0.00197
1.68067,-0.00055
2.01681,-0.00055
2.35294,-0.00055
2.68908,-0.00055
3.02521,-0.00055
3.36134,-0.00055
3.69748,-0.00055
4.03361,-0.00055
4.36975,-0.00055
4.70588,-0.00055
5.04202,-0.00054
5.37815,-0.00054
5.71429,-0.00055
6.05042,-0.00055
6.38655,-0.00055
6.72269,-0.00055
7.05882,-0.00055
7.39496,-0.00055
7.73109,-0.00055
8.06723,-0.00055
8.40336,-0.00055
8.7395,-0.00055
9.07563,-0.00055
9.41176,-0.00055
9.7479,-0.00055
10.08403,-0.00055
10.42017,-0.00055
10.7563,-0.00055
11.09244,-0.00055
11.42857,-0.00055
11.76471,-0.00055
12.10084,-0.00055
12.43697,-0.00055
12.77311,-0.00055
13.10924,-0.00055
13.44538,-0.00055
13.78151,-0.00055
14.11765,-0.00055
14.45378,-0.00055
14.78992,-0.00055
15.12605,-0.00055
15.46218,-0.00055
15.79832,-0.00055
16.13445,-0.00055
16.47059,-0.00055
16.80672,-0.00055
17.14286,-0.00055
17.47899,-0.00055
17.81513,-0.00055
18.15126,-0.00055
18.48739,-0.00055
18.82353,-0.00055
19.15966,-0.00055
19.4958,-0.00055
19.83193,0.00307
20.16807,-0.00153
20.5042,0.00095
20.84034,0.00038
21.17647,0.00037
21.51261,0.00186
21.84874,-0.00086
22.18487,-0.00055
22.52101,1e-05
22.85714,-0.00057
23.19328,0.00048
23.52941,-0.0005
23.86555,-0.00048
24.20168,-0.00026
24.53782,-0.00052
24.87395,-0.00048
25.21008,-0.00046
25.54622,-0.00044
25.88235,-0.00039
26.21849,-0.00043
26.55462,-0.00047
26.89076,-0.00051
27.22689,-0.00033
27.56303,0.00072
27.89916,0.00085
28.23529,0.00023
28.57143,-0.00031
28.90756,-0.00133
29.2437,-0.00149
29.57983,-0.00061
29.91597,-0.00047
30.2521,-0.00133
30.58824,-0.00095
30.92437,-0.00062
31.2605,0.00119
31.59664,-0.00062
31.93277,-0.00055
32.26891,-0.00052
32.60504,-0.00051
32.94118,-0.00052
33.27731,-0.00053
33.61345,0.00026
33.94958,2e-05
34.28571,-0.00016
34.62185,-0.00025
34.95798,-0.0006
35.29412,0.00043
35.63025,-0.00059
35.96639,-0.00022
36.30252,-0.00054
36.63866,-0.00057
36.97479,-0.00072
37.31092,-0.00028
37.64706,0.00039
37.98319,-0.0005
38.31933,-0.00021
38.65546,4e-05
38.9916,0.00015
39.32773,-0.0003
39.66387,-0.00032
40.0,-0.00065
