phi_trend,lyapunov,diverged
0.0,0.00059,False
0.00891,-0.00023,False
0.01783,-8e-05,False
0.02674,0.00075,False
0.03566,0.00087,False
0.04457,-0.00015,False
0.05349,-8e-05,False
0.0624,-0.00124,False
0.07132,0.00059,False
0.08023,7e-05,False
0.08915,0.00067,False
0.09806,-0.0003,False
0.10698,0.00033,False
0.11589,0.00127,False
0.12481,-9e-05,False
0.13372,-0.00043,False
0.14264,0.00059,False
0.15155,-0.00082,False
0.16047,0.00013,False
0.16938,-0.00122,False
0.17829,0.00191,False
0.18721,-0.00019,False
0.19612,0.00094,False
0.20504,-0.00058,False
0.21395,0.00277,False
0.22287,0.00063,False
0.23178,0.00113,False
0.2407,0.00187,False
0.24961,-0.00019,False
0.25853,-0.00059,False
0.26744,0.00016,False
0.27636,-0.00055,False
0.28527,-0.00055,False
0.29419,0.00081,False
0.3031,-0.00141,False
0.31202,-0.00023,False
0.32093,8e-05,False
0.32984,0.00236,False
0.33876,-0.00032,False
0.34767,-0.0002,False
0.35659,-0.00107,False
0.3655,-0.00061,False
0.37442,0.00045,False
0.38333,-0.00078,False
0.39225,-0.00041,False
0.40116,0.02792,False
0.41008,-0.0013,False
0.41899,0.0009,False
0.42791,6e-05,False
0.43682,-0.00014,False
0.44574,-0.0003,False
0.45465,-0.00067,False
0.46357,-0.00136,False
0.47248,0.0009,False
0.4814,0.00026,False
0.49031,0.0001,False
0.49922,0.00047,False
0.50814,1e-05,False
0.51705,-0.00024,False
0.52597,0.00022,False
0.53488,0.00117,False
0.5438,0.00107,False
0.55271,-0.00056,False
0.56163,-0.00056,False
0.57054,-0.00056,False
0.57946,-0.00056,False
0.58837,-0.00057,False
0.59729,-0.00056,False
0.6062,-0.00056,False
0.61512,-0.00056,False
0.62403,-0.00056,False
0.63295,-0.00056,False
0.64186,0.0014,False
0.65078,-0.00039,False
0.65969,0.00114,False
0.6686,-0.00039,False
0.67752,0.0,False
0.68643,0.00158,False
0.69535,-0.00035,False
0.70426,0.00234,False
0.71318,0.00135,False
0.72209,1e-05,False
0.73101,0.0003,False
0.73992,-0.00015,False
0.74884,-0.00098,False
0.75775,0.00152,False
0.76667,-0.00047,False
0.77558,0.00034,False
0.7845,0.00151,False
0.79341,-0.00041,False
0.80233,0.00066,False
0.81124,0.00138,False
0.82016,0.00137,False
0.82907,0.00811,False
0.83798,-0.00055,False
0.8469,-0.00055,False
0.85581,-0.00056,False
0.86473,0.00634,False
0.87364,0.04564,False
0.88256,-0.00059,False
0.89147,-0.00053,False
0.90039,0.0275,False
0.9093,0.07028,False
0.91822,0.1341,False
0.92713,0.11183,False
0.93605,0.11192,False
0.94496,-0.00061,False
0.95388,0.0881,False
0.96279,0.07713,False
0.97171,-0.00062,False
0.98062,0.07208,False
0.98953,-0.00055,False
0.99845,-0.00023,False
1.00736,0.07824,False
1.01628,-0.00049,False
1.02519,-0.00058,False
1.03411,0.0629,False
1.04302,0.02069,False
1.05194,0.07175,False
1.06085,-0.00064,False
1.06977,-0.00042,False
1.07868,-0.00046,False
1.0876,0.08475,False
1.09651,0.13376,False
1.10543,,True
1.11434,,True
1.12326,,True
1.13217,,True
1.14109,,True
1.15,,True
